id		total_contributions		longest_streak		current_streak		followers		starred		following		
275 		2						1					0					17				0			3
276 		35						3					0					86				216			15
277 		63						4					0					25				344			36
278 		1						1					0					63				0			0
279 		10						1					0					45				0			7
280 		30						2					0					614				310			72
281 		0						0					0					4				0			0
282 		895						18					0					262				212			89
283 		1						1					0					0				0			0
284 		0						0					0					3				0			0
285 		70						3					0					92				112			2
286 		0						0					0					0				0			0
287 		0						0					0					28				0			0
288 		5						1					0					0				0			0
289 		6						1					0					340				62			0
290 		47						3					0					30				254			85
291 		2						1					0					19				2			2
292 		0						0					0					80				0			0
293 		117						3					0					122				1100			139
294 		317						5					0					170				305			39
295 		169						3					0					195				227			48
296 		0						0					0					62				0			0
297 		7						1					0					4				3			2
298 		9						1					0					0				0			0
299 		286						5					0					178				137			8
300 		5						1					0					0				0			0
301 		63						3					0					62				20			10
302 		32						2					0					80				256			18
303 		505						9					0					243				103			1
304 		26						3					0					144				68			37
305 		86						3					0					139				66			8
306 		616						4					0					55				12			9
307 		100						2					0					31				27			41
308 		25						2					0					31				14			1
309 		1						1					0					82				80			6
310 		0						0					0					8				0			2
311 		0						0					0					15				0			3
312 		71						4					0					17				99			15
313 		164						5					0					118				52			26
314 		127						3					0					38				19			81
315 		4						1					0					383				168			72
316 		2						1					0					8				0			0
317 		0						0					0					2				0			0
318 		34						3					0					433				2			0
319 		833						12					0					116				131			22
320 		1356						9					4					46				6			1
321 		55						2					2					11				106			14
322 		0						0					0					70				11			6
323 		74						2					0					10700				306			22
324 		1358						18					0					751				147			67
325 		6						1					0					8				0			0
326 		249						6					0					344				128			42
327 		0						0					0					3				0			0
328 		257						4					2					88				25			5
329 		10						1					0					0				5			2
330 		0						0					0					5				0			0
331 		0						0					0					7				0			1
332 		202						4					0					17				19			2
333 		18						1					0					9				7			8
334 		0						0					0					14				0			0
335 		83						3					0					1900				258			100
336 		0						0					0					0				0			0
337 		120						5					0					362				872			258
338 		0						0					0					1				0			0
339 		32						1					0					4				5			3
340 		14						2					0					7				1			0
341 		38						2					0					5				56			5
342 		29						2					0					446				720			142
343 		0						0					0					2				0			0
344 		52						3					0					124				3			19
345 		18						1					0					35				47			19
346 		68						5					0					90				49			0
347 		51						2					0					95				268			17
348 		0						0					0					2				4			16
349 		4						1					0					2				1			0
350 		0						0					0					0				0			0
351 		0						0					0					0				0			0
352 		3						1					0					152				48			0
353 		840						7					0					82				190			43
354 		0						0					0					36				22			43
355 		29						2					0					2				3			1
356 		0						0					0					8				0			0
357 		21						2					0					277				95			250
358 		22						2					0					125				14			7
359 		124						3					3					66				29			4
360 		56						4					0					54				0			0
361 		1						1					0					72				30			16
362 		999						70					0					451				465			1400
363 		0						0					0					11				0			0
364 		9						1					0					11				29			0
365 		551						6					0					38				6			0
366 		1						1					0					170				41			8
367 		71						4					0					248				145			37
368 		50						2					0					8				6			3
369 		99						4					0					440				710			85
370 		0						0					0					4				0			0
371 		38						2					2					3				6			0
372 		256						5					0					544				276			136
373 		95						2					0					5				0			0
374 		5						2					0					38				0			0
375 		6						2					0					121				5			4
376 		1300					13					2					2200				301			17
377 		3						1					0					3				0			0
378 		5897					26					0					669				129			14
379 		7						1					0					2				0			0
380 		340						4					2					213				105			6
381 		0						0					0					3				0			0
382 		24						1					0					14				0			4
383 		2183					19					0					307				117			10
384 		0						0					0					0				0			0
385 		0						0					0					7				0			0
386 		57						3					0					74				367			8
387 		3						1					0					51				15			7
388 		30						3					0					3				9			7
389 		2						1					0					119				6			5
390 		233						11					3					143				39			2
391 		0						0					0					4				0			2
392 		0						0					0					36				0			0
393 		0						0					0					0				0			0
394 		1309					24					2					93				865			69
395 		159						3					0					11				9			5
396 		0						0					0					1				10			0
397 		8						3					0					1				14			6
398 		67						3					0					22				0			23
399 		21						1					0					160				50			1
400 		2618					27					3					88				152			15
401 		1						1					0					56				41			5
402 		0						0					0					0				0			0
403 		35						1					0					262				34			90
404 		588						11					0					49				31			4
405 		614						6					0					817				133			14
406 		22						2					0					8				82			3
407 		22						1					0					1				1			18
408 		0						0					0					5				0			0
409 		0						0					0					2				0			1
410 		0						0					0					5				0			0
411 		1						1					0					2				0			2
412 		0						0					0					6				2			0
413 		12						1					0					4				0			2
414 		3						1					0					135				1			15
415 		0						0					0					21				2			7
416 		1						1					0					6				0			1
417 		5						1					0					0				0			0
418 		0						0					0					0				0			0
419 		7						1					0					10				63			13
420 		0						0					0					0				0			0
421 		3						1					0					1				5			0
422 		44						2					0					9				0			25
423 		37						2					0					314				956			39
424 		19						1					0					0				0			0
425 		256						5					2					136				233			54
426 		18						1					0					79				1			2
427 		5						1					0					0				0			0
428 		0						0					0					2				0			0
429 		2069					20					5					339				13			3
430 		42						3					0					26				12			1
431 		7						1					0					1				0			0
432 		8						1					0					25				136			29
433 		13						2					0					111				0			3
434 		97						3					0					180				36			3
435 		7						2					0					4				1			7
436 		139						4					0					41				46			8
437 		3						1					0					6				2			9
438 		0						0					0					0				0			0
439 		0						0					0					0				0			0
440 		26						2					0					33				29			3
441 		0						0					0					0				0			0
442 		7						2					0					85				18			5
443 		1						1					0					136				3			1
444 		29						2					0					14				0			4
445 		10						2					0					46				1			39
446 		35						4					0					21				121			413
447 		227						4					0					94				191			79
448 		6						1					0					56				6			8
449 		310						5					0					204				218			6
450 		0						0					0					1				0			0
451 		40						4					0					4				1			0
452 		0						0					0					0				0			0
453 		4						1					0					68				4			1
454 		13						1					0					15100				564			208
455 		556						15					0					410				181			333
456 		92						3					0					84				84			42
457 		1986						19					2					535				52			2
458 		221						10					0					16				20			10
459 		83						3					0					27				715			40
460 		19						2					2					2				0			0
461 		4						1					0					2				0			1
462 		255						4					0					52				84			0
463 		2						1					0					0				0			0
464 		1694						76					4					8800				178			32
465 		5						1					0					0				1			8
466 		119						5					0					16				18			1
467 		42						2					0					184				566			26
468 		0						0					0					5				0			1
469 		237						6					3					391				131			26
470 		0						0					0					0				1			0
471 		0						0					0					7				0			0
472 		0						0					0					4				0			0
473 		171						4					0					17				3			6
474 		235						30					7					455				658			304
475 		19						1					0					11				0			0
